step,timestamp,simulation_time,pos_x,pos_y,speed,heading,velocity_x,velocity_y,on_lane,out_of_road,dist_to_left_side,dist_to_right_side,crash_vehicle,crash_object,crash_sidewalk,nav_route_completion,nav_distance_to_dest,nav_current_lane,nav_route_length,nav_checkpoints_count,lane_longitudinal_pos,lane_lateral_pos,lane_length,custom_dest_x,custom_dest_y,distance_to_custom_dest,action_steering,action_throttle,action_source,action_success,reward,control_mode,expert_takeover,obs_shape,obs_mean,obs_std,obs_min,obs_max,obs_0_speed_related,obs_1_steering_related,obs_2,obs_3,obs_4
22,2025-08-12T22:39:22.484925,2.3000000000000007,234.62030029296875,6.743716239929199,2.5763393914343853,0.02068144323528287,2.5763275623321533,0.007807139307260513,True,,2.006283760070801,8.4937162399292,False,False,False,0.44475941652862855,,"('2S0_0_', '3S0_0_', 0)",0,11,38.158905029296875,0.2562837600708008,75.58282470703125,637.2861328125,-0.2431640625,402.7264445936071,-0.04116411507129669,-0.9680632948875427,expert,True,0.33422536319895474,unknown,True,[259],0.949718177318573,0.18878330290317535,0.0,1.0,0.11146020889282227,0.47187313437461853,0.48966002464294434,0.12684965133666992,0.49961286783218384
23,2025-08-12T22:39:22.486638,2.400000000000001,234.86029052734375,6.743920803070068,1.7001902447787047,0.018143051242273778,1.7001641988754272,-0.009410914033651352,True,,2.0060791969299316,8.493920803070068,False,False,False,0.4452143554937561,,"('2S0_0_', '3S0_0_', 0)",0,11,38.398895263671875,0.25607919692993164,75.58282470703125,637.2861328125,-0.2431640625,402.4864940514602,-0.06304797530174255,-0.6997098326683044,expert,True,0.24764109047650418,unknown,True,[259],0.9495980739593506,0.18918080627918243,0.0,1.0,0.11144884675741196,0.47188448905944824,0.49092897772789,0.08790969103574753,0.4994793236255646
24,2025-08-12T22:39:22.488403,2.500000000000001,235.0041046142578,6.7432661056518555,0.5293726955555643,0.01562876085712972,0.5293686389923096,0.002072402276098728,True,,2.0067338943481445,8.493266105651855,False,False,False,0.44548697755290706,,"('2S0_0_', '3S0_0_', 0)",0,11,38.54270935058594,0.25673389434814453,75.58282470703125,637.2861328125,-0.2431640625,402.34269027507605,-0.07182780653238297,-0.6338745355606079,expert,True,0.14619626404406255,unknown,True,[259],0.9485197067260742,0.19395571947097778,0.0,1.0,0.11148521304130554,0.47184813022613525,0.49218595027923584,0.035873353481292725,0.499557763338089
25,2025-08-12T22:39:22.490267,2.600000000000001,235.04830932617188,6.743289470672607,0.020681993728689903,0.014179468591908773,-0.020469361916184425,0.002958054654300213,True,,2.0067105293273926,8.493289470672607,False,False,False,0.4455707744871628,,"('2S0_0_', '3S0_0_', 0)",0,11,38.5869140625,0.2567105293273926,75.58282470703125,637.2861328125,-0.2431640625,402.2984926344985,-0.1082368716597557,-0.7279708385467529,expert,True,0.0442977808858416,unknown,True,[259],0.9495919942855835,0.18954987823963165,0.0,1.0,0.11148391664028168,0.4718494117259979,0.4929105043411255,0.013264878652989864,0.4992527961730957
26,2025-08-12T22:39:22.492064,2.700000000000001,235.04872131347656,6.743507385253906,0.010187064655633987,0.013753762291659477,-0.010153631679713726,0.0008246514480561018,True,,2.0064926147460938,8.493507385253906,False,False,False,0.4455715554734331,,"('2S0_0_', '3S0_0_', 0)",0,11,38.58732604980469,0.25649261474609375,75.58282470703125,637.2861328125,-0.2431640625,402.29808449376634,-0.11406181007623672,-0.19027121365070343,expert,True,0.000457829095637853,unknown,True,[259],0.9502111077308655,0.18791049718856812,0.0,1.0,0.11147180944681168,0.47186151146888733,0.493123322725296,0.012798437848687172,0.4989773631095886
27,2025-08-12T22:39:22.493839,2.800000000000001,235.04771423339844,6.743556976318359,0.008231575270003292,0.013501161462265543,-0.008210795000195503,-0.0005845313426107168,True,,2.0064430236816406,8.49355697631836,False,False,False,0.4455696463958836,,"('2S0_0_', '3S0_0_', 0)",0,11,38.58631896972656,0.2564430236816406,75.58282470703125,637.2861328125,-0.2431640625,402.2990922832051,-0.10070808976888657,-0.1471167355775833,expert,True,-0.0009700379894099851,unknown,True,[259],0.9501742124557495,0.18800665438175201,0.0,1.0,0.11146906018257141,0.4718642830848694,0.4932496249675751,0.012711526826024055,0.49910348653793335
28,2025-08-12T22:39:22.495610,2.9000000000000012,235.04689025878906,6.743506908416748,0.01367407384020434,0.013386112903174485,0.013667244464159012,-0.00043211589218117297,True,,2.006493091583252,8.493506908416748,False,False,False,0.4455680844233431,,"('2S0_0_', '3S0_0_', 0)",0,11,38.58549499511719,0.25649309158325195,75.58282470703125,637.2861328125,-0.2431640625,402.2999152640216,-0.10863777250051498,-0.2666444182395935,expert,True,-0.0007624412770940805,unknown,True,[259],0.9497804641723633,0.18906812369823456,0.0,1.0,0.11147183924913406,0.47186148166656494,0.4933071434497833,0.012953415513038635,0.49929141998291016
29,2025-08-12T22:39:22.497487,3.0000000000000013,235.04774475097656,6.743480205535889,0.06179243434264246,0.013368402881924979,-0.0617811419069767,0.001181290252134204,True,,2.0065197944641113,8.493480205535889,False,False,False,0.44556970424671843,,"('2S0_0_', '3S0_0_', 0)",0,11,38.58634948730469,0.25651979446411133,75.58282470703125,637.2861328125,-0.2431640625,402.29906043696,-0.09648015350103378,0.07460875809192657,expert,True,0.0011325581420418911,unknown,True,[259],0.948848307132721,0.19237162172794342,0.0,1.0,0.11147332191467285,0.47186002135276794,0.49331599473953247,0.01509200967848301,0.4992615580558777
30,2025-08-12T22:39:22.501062,3.1000000000000014,235.04464721679688,6.743550777435303,0.025409699965851514,0.013442039286065466,-0.025385230779647827,0.0011148590128868818,True,,2.0064492225646973,8.493550777435303,False,False,False,0.4455638323869829,,"('2S0_0_', '3S0_0_', 0)",0,11,38.583251953125,0.25644922256469727,75.58282470703125,637.2861328125,-0.2431640625,402.3021587295957,-0.09884443134069443,-0.10178737342357635,expert,True,-0.002983190529841168,unknown,True,[259],0.9490123391151428,0.19168119132518768,0.0,1.0,0.11146940290927887,0.47186392545700073,0.49327918887138367,0.013474998995661736,0.4991651773452759
31,2025-08-12T22:39:22.502793,3.2000000000000015,235.04283142089844,6.743648052215576,0.00608574299259008,0.013513412003280045,-0.006065857596695423,0.0004915682948194444,True,,2.006351947784424,8.493648052215576,False,False,False,0.4455603902623103,,"('2S0_0_', '3S0_0_', 0)",0,11,38.58143615722656,0.25635194778442383,75.58282470703125,637.2861328125,-0.2431640625,402.30397594100555,-0.09043331444263458,-0.2647302746772766,expert,True,-0.0017884100549708445,unknown,True,[259],0.9499849081039429,0.18849775195121765,0.0,1.0,0.1114639937877655,0.4718693494796753,0.4932434856891632,0.012616156600415707,0.4991229176521301
